USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0 225696  9500 ?        Ss   11月04   0:08 /sbin/init splash
linxp      348  2.6  4.9 43700448 4789728 pts/0 Sl+ 17:15   0:06 python train.py --gpu_ids 1,2 --name PMS --batchsize 6*10 --erasing_p 0.4 --data_dir /home/linxp/datasets/person_reID_datasets/Competition/pytorch
linxp      352  2.4  4.9 43701356 4790648 pts/0 Rl+ 17:15   0:05 python train.py --gpu_ids 1,2 --name PMS --batchsize 6*10 --erasing_p 0.4 --data_dir /home/linxp/datasets/person_reID_datasets/Competition/pytorch
linxp      353  2.4  4.9 43701176 4790496 pts/0 Sl+ 17:15   0:05 python train.py --gpu_ids 1,2 --name PMS --batchsize 6*10 --erasing_p 0.4 --data_dir /home/linxp/datasets/person_reID_datasets/Competition/pytorch
linxp      354  2.6  4.9 43701236 4790480 pts/0 Sl+ 17:15   0:06 python train.py --gpu_ids 1,2 --name PMS --batchsize 6*10 --erasing_p 0.4 --data_dir /home/linxp/datasets/person_reID_datasets/Competition/pytorch
linxp      355  2.5  4.9 43702352 4791584 pts/0 Sl+ 17:15   0:05 python train.py --gpu_ids 1,2 --name PMS --batchsize 6*10 --erasing_p 0.4 --data_dir /home/linxp/datasets/person_reID_datasets/Competition/pytorch
linxp      359  2.5  4.9 43702364 4791584 pts/0 Sl+ 17:15   0:05 python train.py --gpu_ids 1,2 --name PMS --batchsize 6*10 --erasing_p 0.4 --data_dir /home/linxp/datasets/person_reID_datasets/Competition/pytorch
root       368  0.0  0.0      0     0 ?        I<   11月04   0:00 [kworker/3:1H]
root       369  0.0  0.0      0     0 ?        I<   11月04   0:00 [kworker/5:1H]
root       370  0.0  0.0      0     0 ?        I<   11月04   0:00 [kworker/9:1H]
root       371  0.0  0.0      0     0 ?        I<   11月04   0:00 [kworker/11:1H]
root       372  0.0  0.0      0     0 ?        I<   11月04   0:00 [kworker/8:1H]
root       373  0.0  0.0      0     0 ?        I<   11月04   0:00 [kworker/15:1H]
root       378  0.0  0.0      0     0 ?        I<   11月04   0:00 [kworker/6:1H]
root       382  0.0  0.0      0     0 ?        I<   11月04   0:00 [kworker/14:1H]
root       385  0.0  0.0      0     0 ?        I<   11月04   0:00 [kworker/0:1H]
root       389  0.0  0.0      0     0 ?        I<   11月04   0:00 [kworker/7:1H]
root       391  0.0  0.0      0     0 ?        I<   11月04   0:00 [kworker/10:1H]
root       393  0.0  0.0      0     0 ?        I<   11月04   0:00 [kworker/2:1H]
root       394  0.0  0.0      0     0 ?        S    11月04   0:01 [jbd2/sda2-8]
root       395  0.0  0.0      0     0 ?        I<   11月04   0:00 [ext4-rsv-conver]
root       400  0.0  0.0      0     0 ?        I<   11月04   0:00 [kworker/1:1H]
root       404  0.0  0.0      0     0 ?        I<   11月04   0:00 [kworker/12:1H]
root       426  0.0  0.0      0     0 ?        I<   11月04   0:00 [kworker/13:1H]
root       430  0.0  0.0      0     0 ?        I<   11月04   0:00 [kworker/4:1H]
root       437  0.0  0.0 103584 17728 ?        S<s  11月04   0:01 /lib/systemd/systemd-journald
root       465  0.0  0.0  37568  7648 ?        Ss   11月04   0:00 /lib/systemd/systemd-udevd
root       511  0.0  0.0      0     0 ?        S    11月04   0:00 [irq/66-mei_me]
root       553  0.0  0.0      0     0 ?        I<   11月04   0:00 [ttm_swap]
root       785  0.0  0.0      0     0 ?        S    11月04   0:00 [jbd2/sdb1-8]
root       786  0.0  0.0      0     0 ?        I<   11月04   0:00 [ext4-rsv-conver]
root       787  0.0  0.0      0     0 ?        S    11月04   0:00 [nvidia-modeset]
root       789  0.0  0.0      0     0 ?        S    11月04   0:00 [jbd2/sdc1-8]
root       790  0.0  0.0      0     0 ?        I<   11月04   0:00 [ext4-rsv-conver]
root       804  0.0  0.0      0     0 ?        S    11月04   0:00 [UVM global queu]
root       805  0.0  0.0      0     0 ?        S    11月04   0:00 [UVM Tools Event]
systemd+   843  0.0  0.0  70760  6184 ?        Ss   11月04   0:00 /lib/systemd/systemd-resolved
systemd+   844  0.0  0.0 146112  3296 ?        Ssl  11月04   0:00 /lib/systemd/systemd-timesyncd
root       974  0.0  0.0  26884  5244 ?        Ss   11月04   0:00 /usr/sbin/smartd -n
message+   975  0.0  0.0  51352  5376 ?        Rs   11月04   0:02 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root       977  0.0  0.0 502940 10456 ?        Ssl  11月04   0:00 /usr/lib/udisks2/udisksd
root       979  0.0  0.0  71056  6384 ?        Ss   11月04   0:00 /lib/systemd/systemd-logind
syslog     983  0.0  0.0 263036  4944 ?        Ssl  11月04   0:00 /usr/sbin/rsyslogd -n
